"Certaines données sont associées à l'ancienne version du formulaire incendie. Consultez la documentation pour plus d'informations."
"Nombre d'incendies suivant les critères de sélection : 4393"
"Critères de sélection =>";"Date de première alerte, de : 2022-01-01 00:00:00";"Date de première alerte, jusqu'à : 2022-12-31 23:59:00";"France entière";"Type de feu : F"
Année;Numéro;Département;"Code INSEE";"Nom de la commune";"Date de première alerte";"Origine de l'alerte";"Moyens de première intervention";"Surface parcourue (m2)";"Surface forêt (m2)";"Surface maquis garrigues (m2)";"Autres surfaces naturelles hors forêt (m2)";"Surfaces agricoles (m2)";"Autres surfaces (m2)";"Surface autres terres boisées (m2)";"Surfaces non boisées naturelles (m2)";"Surfaces non boisées artificialisées (m2)";"Surfaces non boisées (m2)";"Précision des surfaces";"Surface de feu à l'arrivée des secours > 0,1 ha";"Voie carrossable la plus proche";"Activité ou habitation la plus proche";"Type de peuplement";"Connaissance de la cause";"Source de l'enquête";Nature;"Intervention de l'équipe RCCI";"Décès ou bâtiments touchés";"Nombre de décès";"Nombre de bâtiments totalement détruits";"Nombre de bâtiments partiellement détruits";"Hygrométrie (%)";"Vitesse moyenne du vent (Km/h)";"Direction du vent";"Température (°C)";Commentaire;"Précision de la donnée";"Présence d'un contour valide"
2022;13619;"2B";"2B329";"Tralonca";"2022-01-14 17:26:00";"Indéterminé";;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;13620;"2B";"2B039";"Bisinchi";"2022-01-14 17:53:00";"Indéterminé";;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;13621;"2B";"2B305";"San-Martino-di-Lota";"2022-01-15 14:09:00";"Indéterminé";;8050;;8050;;;;;;;;;;"3";"3";"1";"Certaine";"Coordinateur";"Malveillance";"Non";;;;;;;;;;"";"Non"
2022;13804;"2A";"2A247";"Porto-Vecchio";"2022-01-15 14:41:00";"Indéterminé";"3";40;;40;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;14844;"48";"48022";;"2022-01-15 15:00:00";"Population";"3";3000;;3000;;;;;;;;;"Oui";"2";"3";"1";"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;13623;"2B";"2B097";"Costa";"2022-01-15 15:16:00";"Indéterminé";;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;13805;"2A";"2A154";"Marignana";"2022-01-15 16:14:00";"Indéterminé";"3";30;;30;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;21263;"07";"07202";"Sablières";"2022-01-15 18:06:00";"Population";"3";27000;;27000;;;;;;;;;"Oui";"2";"3";"1";"Inconnue";;;;;;;;;0;;10;;"";"Non"
2022;21752;"2A";"2A258";"Renno";"2022-01-16 12:48:00";"Indéterminé";"3";3000;;3000;;;;;;;;;;"4";"3";"1";"Probable";"Sapeur-pompier";"Malveillance";"Non";;;;;;;;;;"";"Non"
2022;21764;"04";"04090";"Le Fugeret";"2022-01-16 13:23:00";"Population";"1";221200;221200;;;;;;;;;;;;;"5";"Probable";"Forestier";"Involontaire (travaux)";"Non";;;;;;;;;;"";"Non"
2022;1670;"67";"67295";"Mittelbergheim";"2022-01-16 14:04:00";"Indéterminé";;2;0;;2;;;2;0;0;0;"Estimées";;;;;;;;;;;;;;;;;;"";"Non"
2022;13627;"2B";"2B036";"Bigorno";"2022-01-16 14:20:00";"Indéterminé";;9500;1500;8000;;;;;;;;;;"3";"3";"1";"Probable";"Coordinateur";"Malveillance";"Non";;;;;;;;;;"";"Non"
2022;21374;"07";"07315";"La Souche";"2022-01-16 16:34:00";"Population";"3";50000;;50000;;;;;;;;;"Oui";"3";"2";"1";"Certaine";"Sapeur-pompier";"Involontaire (particulier)";;;;;;;40;"N";0;;"";"Non"
2022;19514;"13";"13056";"Martigues";"2022-01-17 02:37:00";"Population";"3";20;20;;;;;;;;;;"Non";"2";"2";"1";"Inconnue";;;;;;;;;;;;;"";"Non"
2022;21798;"04";"04061";"Colmars";"2022-01-17 11:41:00";"Population";"1";105700;105700;;;;;;;;;;;;;"5";"Certaine";"Sapeur-pompier";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;15276;"07";"07093";"Genestelle";"2022-01-17 16:58:00";"Population";"3";15000;;15000;;;;;;;;;"Oui";"1";"1";"1";"Certaine";"Coordinateur";"Involontaire (particulier)";;;;;;;45;"N";6;;"";"Non"
2022;15944;"11";"11285";"Peyriac-de-Mer";"2022-01-17 17:46:00";"Indéterminé";;6000;;;;;;;;;;;;;;;"Probable";"Gestionnaire";"Involontaire (particulier)";"Oui";;;;;;;;;;"";"Non"
2022;13557;"06";"06050";"Coursegoules";"2022-01-17 21:09:00";"Population";"3";1500;;1500;;;;;;;;;"Non";"3";"3";"1";"Inconnue";"Service de police et de gendarmerie";;;;;;;;;;;;"";"Non"
2022;13806;"2A";"2A247";"Porto-Vecchio";"2022-01-18 00:40:00";"Indéterminé";"3";10;;;;;;;;;10;;;;;;"Certaine";"Sapeur-pompier";"Involontaire (travaux)";"Non";;;;;;;;;;"";"Non"
2022;13807;"2A";"2A141";"Letia";"2022-01-18 11:49:00";"Indéterminé";"3";3;;3;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
2022;13547;"06";"06057";"L'Escarène";"2022-01-18 13:03:00";"Population";"3";3000;;3000;;;;;;;;;"Oui";"1";"2";"1";"Inconnue";"Service de police et de gendarmerie";;"Non";;;;;;;;;;"";"Non"
2022;18337;"30";"30279";"Saint-Laurent-la-Vernède";"2022-01-18 13:09:00";"Indéterminé";;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;"";"Non"
2022;13591;"06";"06096";"Pierlas";"2022-01-18 16:36:00";"Population";"3";42000;;42000;;;;;;;;;"Oui";"1";"3";"1";"Certaine";"Service de police et de gendarmerie";"Involontaire (particulier)";"Non";;;;;;;;;;"";"Non"
2022;13808;"2A";"2A212";"Piana";"2022-01-18 17:10:00";"Indéterminé";"3";50;;50;;;;;;;;;;;;;"Inconnue";;;"Non";;;;;;;;;;"";"Non"
